Nome punto,Latitudine,Longitudine
Paringianu EP1,39.17361111,8.448888889
Paringianu EP2,39.1675,8.439166667
30PT006,39.21332563,8.392027459
14PO007,39.22751253,8.387618616
14PZ003,39.21012291,8.401726403
14PT003,39.20392844,8.399184665
