Punto di prelievo (abbr),Punto di prelievo,Data prelievo,Comune,Contaminante,Concentrazione (mg/Kg),Soglia di legge (mg/Kg),Concentrazione in eccesso (mg/Kg),Indice superamento,ID
G3,GONNESA NURAGHE SERUCI G3,22/12/2022,Gonnesa,Arsenico,1.1,20,,0,G3 - Arsenico
G4,GONNESA NURAXI FIGUS G4,22/12/2022,Gonnesa,Arsenico,7.8,20,,0,G4 - Arsenico
P8,PORTOSCUSO CONCALI ARRUBIU P8,20/12/2022,Portoscuso,Mercurio,0.35,1,,0,P8 - Mercurio
P3,PORTOSCUSO PARINGIANU P3,19/12/2022,Portoscuso,Mercurio,0.26,1,,0,P3 - Mercurio
P1,PORTOSCUSO GERERUXI P1,21/12/2022,Portoscuso,Mercurio,0.35,1,,0,P1 - Mercurio
P5,PORTOSCUSO SA PIRAMIDE P5,21/12/2022,Portoscuso,Mercurio,<0.25,1,,0,P5 - Mercurio
SG1,SAN GIOVANNI SUERGIIU IS BINGIAS SG1,19/12/2022,San Giovanni Suergiu,Mercurio,<0.25,1,,0,SG1 - Mercurio
C3,CARBONIA CORTOGHIANA C3,19/12/2022,Carbonia,Mercurio,<0.25,1,,0,C3 - Mercurio
G3,GONNESA NURAGHE SERUCI G3,22/12/2022,Gonnesa,Mercurio,<0.25,1,,0,G3 - Mercurio
G4,GONNESA NURAXI FIGUS G4,22/12/2022,Gonnesa,Mercurio,<0.25,1,,0,G4 - Mercurio
P5,PORTOSCUSO SA PIRAMIDE P5,21/12/2022,Portoscuso,Piombo,14.1,100,,0,P5 - Piombo
C3,CARBONIA CORTOGHIANA C3,19/12/2022,Carbonia,Piombo,49.7,100,,0,C3 - Piombo
G4,GONNESA NURAXI FIGUS G4,22/12/2022,Gonnesa,Piombo,87.6,100,,0,G4 - Piombo
PO3,PORTOSCUSO PALAZZO GARDENIA PO3,21/12/2022,Portoscuso,Rame,57.1,120,,0,PO3 - Rame
P13,PORTOSCUSO CASE FIGUS P13,20/12/2022,Portoscuso,Rame,66.9,120,,0,P13 - Rame
P8,PORTOSCUSO CONCALI ARRUBIU P8,20/12/2022,Portoscuso,Rame,20,120,,0,P8 - Rame
P3,PORTOSCUSO PARINGIANU P3,19/12/2022,Portoscuso,Rame,18.7,120,,0,P3 - Rame
P1,PORTOSCUSO GERERUXI P1,21/12/2022,Portoscuso,Rame,14.3,120,,0,P1 - Rame
P5,PORTOSCUSO SA PIRAMIDE P5,21/12/2022,Portoscuso,Rame,11.5,120,,0,P5 - Rame
SG1,SAN GIOVANNI SUERGIIU IS BINGIAS SG1,19/12/2022,San Giovanni Suergiu,Rame,83.2,120,,0,SG1 - Rame
C3,CARBONIA CORTOGHIANA C3,19/12/2022,Carbonia,Rame,11.1,120,,0,C3 - Rame
G3,GONNESA NURAGHE SERUCI G3,22/12/2022,Gonnesa,Rame,17.4,120,,0,G3 - Rame
G4,GONNESA NURAXI FIGUS G4,22/12/2022,Gonnesa,Rame,10.1,120,,0,G4 - Rame
P5,PORTOSCUSO SA PIRAMIDE P5,21/12/2022,Portoscuso,Zinco,52,150,,0,P5 - Zinco
C3,CARBONIA CORTOGHIANA C3,19/12/2022,Carbonia,Zinco,106,150,,0,C3 - Zinco
